Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
"Occupation, industrial area, benthos",,,"Occupation, industrial area, benthos",m2a,Raw materials,Raw materials,DEF5FE88-AC3E-4ABB-9265-D8D4FA69182C,
"Occupation, industrial area, built up",,,"Occupation, industrial area, built up",m2a,Raw materials,Raw materials,DA850C91-A66A-408C-BB47-4DAE54C64F14,
"Occupation, industrial area, vegetation",,C11H19NOSSynonyms: 2-Octyl-3(2H)-isothiazolone; 2-octyl-3-isothiazolone; Kathon; Microbicide M-8; micro-chek 11; Octhilinone; pancil; RH 893; Skane M-8; skane hq,"Occupation, industrial area, vegetation",m2a,Raw materials,Raw materials,8DE787BD-A3C6-4D6D-9548-4A0514E39F85,
"Occupation, lakes, artificial",,,"Occupation, lakes, artificial",m2a,Raw materials,Raw materials,38AB1814-EEAF-4AC2-8CF9-2503961F0DFB,
"Occupation, pasture, man made, organic",,C9H18O ,"Occupation, pasture, man made, organic",m2a,Raw materials,Raw materials,3B8232D8-6271-40DA-A9B8-A1A48B45F904,
"Occupation, permanent crop, fruit",,,"Occupation, permanent crop, fruit",m2a,Raw materials,Raw materials,CE7DCB85-EEB3-4E73-9D7D-2B0E870A911B,
"Occupation, permanent crop, fruit, extensive",,C12H12 ,"Occupation, permanent crop, fruit, extensive",m2a,Raw materials,Raw materials,901519CD-E692-4E9A-980A-F74858D28546,
"Occupation, permanent crop, fruit, intensive",,,"Occupation, permanent crop, fruit, intensive",m2a,Raw materials,Raw materials,E34B6C9E-9424-4E83-B987-34C403E24184,
"Occupation, permanent crop, NA",,,"Occupation, permanent crop",m2a,Raw materials,Raw materials,869DD9B0-F81B-4CAF-86FD-B915A3027D74,NA = Namibia
"Occupation, permanent crop, vine",,,"Occupation, permanent crop, vine",m2a,Raw materials,Raw materials,05567B36-D575-4535-8C22-C106977A9B3C,
"Occupation, permanent crop, vine, extensive",,,"Occupation, permanent crop, vine, extensive",m2a,Raw materials,Raw materials,BF7978B9-91ED-4482-AB47-3014511452DB,
"Occupation, permanent crop, vine, intensive",,,"Occupation, permanent crop, vine, intensive",m2a,Raw materials,Raw materials,1540A5B7-D2BA-4D4A-98FD-B5615049FF37,
"Occupation, sea and ocean",,,"Occupation, sea and ocean",m2a,Raw materials,Raw materials,EFF1DCF1-A78B-4554-ADB5-667A14AC7BE1,
"Occupation, sealed soil",,,"Occupation, sealed soil",m2a,Raw materials,Raw materials,337018AE-E144-4706-9063-231B3DA0397D,
"Occupation, sparsely vegetated areas, steppe, tundra, badlands",,,"Occupation, sparsely vegetated areas, steppe, tundra, badlands",m2a,Raw materials,Raw materials,56749230-6718-4051-915D-C5B6FF0835B8,
"Occupation, traffic area",,,"Occupation, traffic area",m2a,Raw materials,Raw materials,7E2C9309-354B-41C6-B71E-8052A8596AD8,
"Occupation, traffic area, road embankment",,Chemical C9H18O2 CAS number not available,"Occupation, traffic area, road embankment",m2a,Raw materials,Raw materials,96F4AACB-5BD3-4F4D-866F-D346BF9AC7DB,
"Occupation, tropical rain forest",,C7H14 ,"Occupation, tropical rain forest",m2a,Raw materials,Raw materials,BF3EDA46-986A-419F-8FDB-195ABE204BF3,
"Occupation, unspecified, used",,C6H12O ,"Occupation, unspecified, used",m2a,Raw materials,Raw materials,D66E970F-880C-469F-BA31-2CC2009BFB6C,
"Occupation, urban",,C7H14O ,"Occupation, urban",m2a,Raw materials,Raw materials,52567566-FE48-44B7-A9F7-CE08983DCC37,
"Occupation, urban, green areas",,,"Occupation, urban, green areas",m2a,Raw materials,Raw materials,68608C79-E3B9-4C3F-BEA5-8B7D8C3A292E,
"Occupation, urban, NA",,,"Occupation, urban",m2a,Raw materials,Raw materials,275EE9B0-2B51-4FE4-B000-B759D0D3DE29,NA = Namibia
"Occupation, water bodies, artificial",,,"Occupation, water bodies, artificial",m2a,Raw materials,Raw materials,3BA639EC-1F02-418B-A611-94C80678ED47,
"Occupation, water courses, artificial",,,"Occupation, water courses, artificial",m2a,Raw materials,Raw materials,D914EE7D-F16F-467E-9931-C7B8124B446F,
"Occupation, wetland",,"C4H3FN2O2Synonyms: 5-fluoro-2,4(1H,3H)-Pyrimidinedione; queroplex; Ro 2-9757; Timazin; U-8953; 5-Fluoro-2,4-pyrimidinedione; 5-Ftouracyl; Adrucil; Arumel; Carzonal; Effluderm (free base); Efudix; Efudex; efurix; Fluoroblastin; Fluoroplex; Fluracil; fluracilum; Fluri; Fluril; Fluroblastin; ftoruracil; Kecimeton","Occupation, wetland",m2a,Raw materials,Raw materials,280D71F1-B54D-467D-8E64-93486ADE5AB7,
"Oil, crude, 38400 MJ per m3",,,"Oil, crude, 38400 MJ per m3",m3,Raw materials,Raw materials,76A91DAD-A8DD-4F90-A8E9-6D233D8E5DA8,Higher heating value (HHV): 40711 MJ/m3Lower heating value (LHV): 38400 MJ/m3
"Oil, crude, 41 MJ per kg",,,"Oil, crude, 41 MJ per kg",kg,Raw materials,Raw materials,ED067DA0-0D6F-4FF0-8BA0-27BA76CBCC06,Higher heating value (HHV): 43.5 MJ/kgLower heating value (LHV): 41.0 MJ/kg
"Oil, crude, 42 MJ per kg",,,"Oil, crude, 42 MJ per kg",kg,Raw materials,Raw materials,696E04F7-EDB8-47EC-9323-85F8CEA2F2D8,Higher heating value (HHV): 44.5 MJ/kgLower heating value (LHV): 42.0 MJ/kg
"Oil, crude, 42.6 MJ per kg",,,"Oil, crude, 42.6 MJ per kg",kg,Raw materials,Raw materials,3EA28B62-6D54-4B7C-B9DC-2621EBEE43AA,Higher heating value (HHV): 45.2 MJ/kgLower heating value (LHV): 42.6 MJ/kg
"Oil, crude, 42.7 MJ per kg",,C10H20OSynonyms: MENTHOL,"Oil, crude, 42.7 MJ per kg",kg,Raw materials,Raw materials,C1E41E99-8A74-46A7-B36D-42DC3328906B,
"Oil, crude, feedstock, 41 MJ per kg",,C19H14Synonyms: 5-Methylchrysene; 5-METHYLCRYSENE;,"Oil, crude, feedstock, 41 MJ per kg",kg,Raw materials,Raw materials,C9AFAF34-8944-4699-8C7A-4A48992445DE,
"Oil, crude, feedstock, 42 MJ per kg",,,"Oil, crude, feedstock, 42 MJ per kg",kg,Raw materials,Raw materials,5782F964-98EC-4189-B31C-1ADB488EFB6D,Higher heating value (HHV): 44.5 MJ/kgLower heating value (LHV): 42.0 MJ/kg
Other industrial minerals,,C9H9NO7,Other industrial minerals,ton,Raw materials,Raw materials,03E3B8D7-D7FF-4037-BADC-6B8183DE50CD,
Other metal ore,,,Other metal ore,ton,Raw materials,Raw materials,F8AD1341-7F4B-4EA9-9A51-F7AEC2AA461C,
"Other minerals, extracted for use",,,"Other minerals, extracted for use",kg,Raw materials,Raw materials,3143096B-A1B9-4426-AB56-00B5DB22C9DC,
"Other minerals, related unused extraction",,,"Other minerals, related unused extraction",kg,Raw materials,Raw materials,C9859603-884D-472D-88C0-9311431AEFEF,
"Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",007440-05-3,C11H22 ,"Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",kg,Raw materials,Raw materials,48612C52-B385-45B5-9015-6533C7FDC291,
"Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",007440-05-3,,"Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",kg,Raw materials,Raw materials,26650991-B835-425F-AC54-9D1B72E3A082,Formula: Pd
"PGM, 4.7E-4% Pt, 3.1E-4% Pd, 0.2E-4% Rh, in crude ore",,,"PGM, 4.7E-4% Pt, 3.1E-4% Pd, 0.2E-4% Rh, in crude ore",kg,Raw materials,Raw materials,46B2AC00-2E16-4F20-B731-5AADE0A068D5,PGM = Platinum Group Metals
Phonolite,,,Phonolite,kg,Raw materials,Raw materials,434421D9-91C5-405C-B9CF-EC64CCF84AA9,
Phosphate ore,,,Phosphate ore,kg,Raw materials,Raw materials,69B9B1B9-0934-49DF-9CDC-CD10AB4CC61E,
Phosphorus ore,,,Phosphorus ore,kg,Raw materials,Raw materials,FD487465-81E7-4BFB-BB63-91149632A861,
Phosphorus pentoxide,001314-56-3,,Phosphorus pentoxide,kg,Raw materials,Raw materials,37B16974-1055-4461-85BD-2370FD88C5B7,Formula: P2O5 (or P4O10)
Pit gas,,,Pit gas,kg,Raw materials,Raw materials,B737F56D-B429-40BC-B32B-65692F113186,
"Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",007440-06-4,C10H20O2Synonyms: HYDROXYCITRONELLA,"Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",kg,Raw materials,Raw materials,69C04C98-0306-4D66-B3F5-7C8BA3541B8F,
"Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",007440-06-4,"C20H16Synonyms: 1,4-dimethyl-2,3-benzophenanthrene; 7,12-dimethyl-1,2-benzanthracene; 7,12-dmba; 9,10-Dimethyl-1,2-benzanthracene; 9,10-dimethylbenz[a]anthracene; dimethylbenzanthrene","Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",kg,Raw materials,Raw materials,385639F3-B981-4BCC-B1B6-583CF64E410A,
"Potashsalt, crude",,"C12H8O4 Synonyms: 6-hydroxy-7-methoxy-5-benzofuranacrylic acid delta-lactone; 7-furocoumarin; 8-Methoxy; 8-methoxy-2',3',6,7-furocoumarin; 8-Methoxy-4',5':6,7-furocoumarin; 8-Methoxyfuranocoumarin; 8-Methoxypsoralen; 8-MOP","Potashsalt, crude",kg,Raw materials,Raw materials,6CC108D1-83B5-4866-A950-A2B8865E5DA9,
Potassium chloride,007447-40-7,,Potassium chloride,kg,Raw materials,Raw materials,3C4461E1-BEE2-42DB-AB3E-F9025D5B0A5A,Formula: KClSynonyms: Sylvite
Potassium oxide,,,Potassium oxide,kg,Raw materials,Raw materials,57C9B04A-3024-4D48-B73C-3AA829BE6123,
Precious metal ore (R.O.M),,,Precious metal ore (R.O.M),kg,Raw materials,Raw materials,8FA01B34-0DD0-4EC2-8FEC-B5E31EA30C44,
Primary energy from solar energy,,,Primary energy from solar energy,MJ,Raw materials,Raw materials,C2D75BEA-4DB5-4686-BEDA-544F7741283C,
Primary energy from waves,,,Primary energy from waves,MJ,Raw materials,Raw materials,C5F4A64D-4C31-4FA3-8F62-D2E220335738,
Primary energy from wind power,,,Primary energy from wind power,MJ,Raw materials,Raw materials,FAD72BD3-A9EA-4F91-A93F-6CA81937678B,
Primary forest,,,Primary forest,kg,Raw materials,Raw materials,B3D5CBBE-786B-412C-9C06-0B04FDE8602A,
Quartzite,,,Quartzite,kg,Raw materials,Raw materials,77F49ABE-6B83-4BC3-80ED-A3633D0D0809,
Radon,014859-67-7,,Radon,kg,Raw materials,Raw materials,5715815E-EFEE-402B-A35A-755BFE543584,Formula: Rn
Rare-earth metals,,"C11H9N3Synonyms: 2-Amino-9H-pyrido[2,3-b]indole; Ac; Amino-alpha-carboline",Rare-earth metals,kg,Raw materials,Raw materials,7060B625-CBEF-4E39-9D57-9DB1238E8A7A,
Renewable fuels,,,Renewable fuels,kg,Raw materials,Raw materials,D0633D0A-F5A3-4B9B-ACE0-95D78EBEDB83,
"Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore",007440-16-6,,"Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore",kg,Raw materials,Raw materials,70972944-B502-4CEA-96E4-A30C125B3DC5,Formula: Rh
"Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",007440-16-6,,"Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",kg,Raw materials,Raw materials,BDB7249E-C2B5-4AE5-B541-6CF3948ED0ED,Formula: Rh
Rutile,001317-80-2,C12H8,Rutile,kg,Raw materials,Raw materials,3CECA063-EDD1-4AC9-A6FA-4EA1724C0E45,
"Salt, unspecified",,C4H10NO3PS ,"Salt, unspecified",kg,Raw materials,Raw materials,A361F00B-883A-4176-ACB0-A15E19E1CB64,
Sand,014808-60-7,,Sand,kg,Raw materials,Raw materials,DB6FA69A-F39E-40F6-A53F-F118285FBB4F,Formula: SiO2 
Sand and clay,,,Sand and clay,kg,Raw materials,Raw materials,EFDC8C8B-4575-4B93-9261-659157662EA1,
"Sand, quartz",,"C2HCl3OSynonyms: Chloral; 2,2,2-trichloroacetaldehyde; grasex; Trichloroacetaldehyde; trichloroethanal","Sand, quartz",kg,Raw materials,Raw materials,07C593F3-7643-4EA3-B3B1-CD9836820FCC,
Seed corn,,,Seed corn,kg,Raw materials,Raw materials,20AE8C33-FE51-483D-8650-EEF9FB698A87,
"Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",007440-22-4,,"Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",kg,Raw materials,Raw materials,1A74B480-F202-486E-901C-1FDBA523B6FB,"Silver and Gold, Zinc, Copper and Lead in ore, in groundFormula: Ag"
Slate,,,Slate,kg,Raw materials,Raw materials,B8BC60E2-D9DF-4077-95BB-4740F2B3E09D,
Sodium bromide,,"C14H15N3O2Synonyms: 3-Amino-1-methyl-5H-pyrido[4,3-b]indole acetate",Sodium bromide,kg,Raw materials,Raw materials,541C0695-2A32-4504-A241-C40C611F9741,
Sodium carbonate,000497-19-8,CH3COOH,Sodium carbonate,kg,Raw materials,Raw materials,B996FB30-9A7B-4DC9-A4C3-7A5121B074D4,
"Sodium chloride, 2.68% in seawater",007647-14-5,,"Sodium chloride, 2.68% in seawater",kg,Raw materials,Raw materials,B7C55D32-D30F-470A-948A-291C9EEE08A5,
Sodium sulfate,007757-82-6,,Sodium sulfate,kg,Raw materials,Raw materials,4218F7CD-B3E7-4061-9F2B-6A45DD5FDA1F,Chemical Formula: Na2O4S various forms
Soil,,,Soil,kg,Raw materials,Raw materials,E57D9933-9B26-4B2B-8102-A82EA59B47A9,
Steam from waste incineration,,,Steam from waste incineration,MJ,Raw materials,Raw materials,316A215D-09FD-46AA-A0B6-CF16369E6000,
Stone,,,Stone,kg,Raw materials,Raw materials,FE92C7F4-E013-47C9-8F9E-E3579A41FAE9,
Sulfate,018785-72-3,,Sulfate,kg,Raw materials,Raw materials,D212D787-F8A0-4BF6-91EA-55FC616E5BC9,Formula: SO4 --
"Sulfur, bonded",,C14H20ClNO2Synonyms: 2-Chloro-2'-methyl-6'-ethyl-N-ethoxymethyl-acetanilide,"Sulfur, bonded",kg,Raw materials,Raw materials,BFC8CB8F-DABD-4EC4-A909-922A1DD8EDF9,
Tin ore,,,Tin ore,kg,Raw materials,Raw materials,0F76279B-A2B0-414A-AD9C-7D35AE33FC28,
"TiO2, 45-60% in Ilmenite",013463-67-7,"C8H6N2OS2Synonyms: Benzothiadiazole-7-carbothioic acid, S-methyl ester","TiO2, 45-60% in Ilmenite",kg,Raw materials,Raw materials,670379A9-4B7C-4EED-8089-205F62FF5EE1,
Titanium ore,,Cl2H9CLN2O3,Titanium ore,kg,Raw materials,Raw materials,60D32910-0EED-40C6-976B-6E986A139551,
Titanium oxide,013463-67-7,,Titanium oxide,kg,Raw materials,Raw materials,D7F1976F-C4F5-4250-A8F3-7931D9F40C96,Formula: TiO2
"Transformation, from agriculture",,,"Transformation, from agriculture",m2,Raw materials,Raw materials,CC017357-8B42-4F1F-A64A-3195A3D17D69,
"Transformation, from agriculture + forest",,C3H4O,"Transformation, from agriculture + forest",m2,Raw materials,Raw materials,1E56E919-EA50-482B-A746-2464F3A9E4A2,
"Transformation, from annual crop, fallow",,,"Transformation, from annual crop, fallow",m2,Raw materials,Raw materials,D3A09DFA-6324-431B-A23C-6A8616CECE11,
"Transformation, from annual crop, NA",,,"Transformation, from annual crop",m2,Raw materials,Raw materials,315DD2DD-7452-48AA-8670-F6A099D6368C,NA = Namibia
"Transformation, from annual crop, non-irrigated, diverse-intensive",,,"Transformation, from annual crop, non-irrigated, diverse-intensive",m2,Raw materials,Raw materials,BB6BC3B0-EBF6-42EE-A930-E6A6CD625286,
"Transformation, from annual crop, non-irrigated, fallow",,,"Transformation, from annual crop, non-irrigated, fallow",m2,Raw materials,Raw materials,AA950EE3-5FD3-4360-8ED6-94D71D25C404,
"Transformation, from annual crop, non-irrigated, monotone-intensive",,,"Transformation, from annual crop, non-irrigated, monotone-intensive",m2,Raw materials,Raw materials,81F4ED22-76B9-466B-8C65-ADE63A376029,
"Transformation, from annual crop, organic",,,"Transformation, from annual crop, organic",m2,Raw materials,Raw materials,D775634E-9437-4932-BAD4-F48CC0223AFA,
"Transformation, from artificial areas",,,"Transformation, from artificial areas",m2,Raw materials,Raw materials,554166B2-3CF3-4B1B-852B-2F9080432F6A,
"Transformation, from dump site, benthos",,,"Transformation, from dump site, benthos",m2,Raw materials,Raw materials,019B648D-52FD-4DF5-93A8-09120CE40B90,
"Transformation, from forest, extensive, NA",,"C14H18Cl2N2Synonyms: o-Tolidine dihydrochloride; 3,3'-dimethyl-[1,1'-biphenyl]-4,4'-diamine, dihydrochloride","Transformation, from forest, extensive",m2,Raw materials,Raw materials,98B48682-A311-47EF-AF7D-5107A8EBC726,
"Transformation, from forest, intensive, clear-cutting",,C6H14O ,"Transformation, from forest, intensive, clear-cutting",m2,Raw materials,Raw materials,2084A13B-05B8-48F4-9F67-821DA2A6B3C8,
"Transformation, from forest, intensive, NA",,C2H7AsO2 Synonyms: ansar 138; Arsan; Dimethylarsenic acid; Bolate; Bolls; chexmate; DMAA; Erase; hydroxydimethylarsine oxide; Moncide; phytar; rad-e-cat 25; silvisar 510,"Transformation, from forest, intensive",m2,Raw materials,Raw materials,37E937F4-279A-47D6-96DB-C82CF42733ED,
"Transformation, from forest, intensive, normal",,CCaN2 Synonyms: aero-cyanamid; Alzodef; Alzodex; Calcium Carbamide; Lime Nitrogen; Temposil,"Transformation, from forest, intensive, normal",m2,Raw materials,Raw materials,4E192EB3-6363-4842-8860-9AB56325A511,
"Transformation, from forest, intensive, short-cycle",,C12H11NO2 ,"Transformation, from forest, intensive, short-cycle",m2,Raw materials,Raw materials,4FB748DE-7ED7-4F35-8B4F-AEF38FD3A6F8,
"Transformation, from forest, natural",,NH2Cl,"Transformation, from forest, natural",m2,Raw materials,Raw materials,D8D1926B-C763-48EC-901C-80371E356267,
"Transformation, from forest, used",,,"Transformation, from forest, used",m2,Raw materials,Raw materials,D35699F9-BB5D-4A95-8DBA-E79FBAB02329,
"Transformation, from grassland",,,"Transformation, from grassland",m2,Raw materials,Raw materials,6C24117D-A116-487B-94BD-5EEAB8937CF9,
"Transformation, from grassland/pasture/meadow",,C10H6Cl8 ,"Transformation, from grassland/pasture/meadow",m2,Raw materials,Raw materials,F0A082AA-FFA7-48EE-B2EF-F75C3521FDAE,
"Transformation, from grassland/pasture/meadow, NA",,,"Transformation, from grassland/pasture/meadow",m2,Raw materials,Raw materials,D5EF3A6E-649C-42EB-BD25-5B285D60F416,NA = Namibia
"Transformation, from industrial area, benthos",,,"Transformation, from industrial area, benthos",m2,Raw materials,Raw materials,8DC78A22-4B2F-408E-B398-C41965975FF1,
"Transformation, from industrial area, built up",,,"Transformation, from industrial area, built up",m2,Raw materials,Raw materials,D7544EF5-C64A-4C36-9288-940CD316F358,
"Transformation, from industrial area, vegetation",,"C15H18ClN3OSynonyms: 2-(4-Chlorophenyl)-3-cyclopropyl-1-(1,2,4-triazol-1-yl)butan-2-ol","Transformation, from industrial area, vegetation",m2,Raw materials,Raw materials,50BFFEE8-5F65-4442-8BD7-15F94EAF12DF,
"Transformation, from pasture, man made, organic",,"C6H12N2O3Synonyms: Alar; alar-85; aminozide; B 995; Dimas; B-NINE; butanedioic acid mono(2,2-dimethylhydrazide); Daminozide; Daminozide (dimethylaminosuccinamic acid); DMASA; Kylar; N-dimethylamino-beta-carbamyl propionic acid; N-(dimethylamino)succinamic acid; NINE; SADH; Succinic acid 2,2-dimethylhydrazide; succinic acid mono(2,2-dimethylhydrazide)","Transformation, from pasture, man made, organic",m2,Raw materials,Raw materials,713EC5B6-A274-4B19-9CE5-56A346C54D29,
"Transformation, from permanent crop, fruit",,"C6H12Br2O4Synonyms: 1,6-dibromo-1,6-dideoxydulcitol; 1,6-dibromo-1,6-dideoxy-galactitol; 1,6-dibromo-1,6-dodeoxygalactitol; 1,6-dibromodulcitol; Mitolactol","Transformation, from permanent crop, fruit",m2,Raw materials,Raw materials,6A43FAE4-3E01-4C99-A64B-FF2905E6F863,
"Transformation, from permanent crop, fruit, extensive",,"C6H12Br2O4Synonyms: 1,6-dibromo-1,6-dideoxy-D-mannitol; 1,6-dibromo-1,6-dideoxymannitol; 1,6-dibromo-1,6-D-didesoxymannitol; 1,6-Dibromomannitol; dibromannit; DBM; mannitol, mitobromitol; Mitobronitol; myelobromol","Transformation, from permanent crop, fruit, extensive",m2,Raw materials,Raw materials,9EFEB1A1-898E-46FC-9569-57A6051E7E86,
"Transformation, from permanent crop, fruit, intensive",,,"Transformation, from permanent crop, fruit, intensive",m2,Raw materials,Raw materials,230BF9DA-D99A-433F-958E-D9A4A56A14D4,
"Transformation, from permanent crop, NA",,,"Transformation, from permanent crop",m2,Raw materials,Raw materials,76BDB140-A991-41EF-80C9-C76B7D916376,NA = Namibia
"Transformation, from permanent crop, vine",,C13H28 ,"Transformation, from permanent crop, vine",m2,Raw materials,Raw materials,6F80961E-E4F0-46CB-91C4-FD2CFCC41846,
"Transformation, from permanent crop, vine, extensive",,,"Transformation, from permanent crop, vine, extensive",m2,Raw materials,Raw materials,AE4050E7-8912-4DFB-81A6-02DBAF0A23ED,
"Transformation, from permanent crop, vine, intensive",,C13H28 ,"Transformation, from permanent crop, vine, intensive",m2,Raw materials,Raw materials,16F0871D-E151-4F94-A182-3DCB7A6101DE,
"Transformation, from sealed soil",,C15H33N3O2,"Transformation, from sealed soil",m2,Raw materials,Raw materials,8BC2BA3E-199E-4663-9D4F-D6E866A3958A,
"Transformation, from traffic area",,,"Transformation, from traffic area",m2,Raw materials,Raw materials,0E949794-9426-4B41-ABB6-D65A7E33EA43,
"Transformation, from traffic area, rail embankment",,,"Transformation, from traffic area, rail embankment",m2,Raw materials,Raw materials,A9E6D80D-31F9-4969-9C86-8EBCAE644287,
"Transformation, from traffic area, road embankment",,,"Transformation, from traffic area, road embankment",m2,Raw materials,Raw materials,32350339-3235-45F2-9796-1ADCC28D36C5,
"Transformation, from tropical rain forest",,,"Transformation, from tropical rain forest",m2,Raw materials,Raw materials,62B96387-C9EB-41A9-ACAD-46F4469BACEE,
"Transformation, from unspecified, used",,C20H42 ,"Transformation, from unspecified, used",m2,Raw materials,Raw materials,AC4B80B0-FCAC-4AF9-B40D-80D78DF99BF9,
"Transformation, from urban",,,"Transformation, from urban",m2,Raw materials,Raw materials,64EBDE49-9217-4F8D-BBFE-2878812F7F27,
"Transformation, from urban, green areas",,C2Cl5F ,"Transformation, from urban, green areas",m2,Raw materials,Raw materials,09CDD217-9232-4AE8-A7F8-B0788CDA4E9C,
