Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
"Transformation, from urban, NA",,Chemical H2O ,"Transformation, from urban",m2,Raw materials,Raw materials,CAD0657E-8A4A-4794-859D-3E36311CDDB0,
"Transformation, from urban/industrial fallow",,Fe2O3Synonyms: hematite,"Transformation, from urban/industrial fallow",m2,Raw materials,Raw materials,241CC07C-2C2F-4D68-BE9C-DE5E8C3AA14A,
"Transformation, from water bodies, artificial",,,"Transformation, from water bodies, artificial",m2,Raw materials,Raw materials,65C1B45D-1B55-4D3E-81A7-73D3FA87961C,
"Transformation, from water courses, artificial",,"C12H4Cl2F6N4OSSynonyms: 5-amino-1-(2,6-dichloro-4-(trifluoromethyl)phenyl)-4-((trifluoromethyl)sulfinyl)-1H-pyrazole-3-carbonitrile; MB 46030; Regent","Transformation, from water courses, artificial",m2,Raw materials,Raw materials,D5664859-E752-4D07-AE8D-3B1984B3A8F6,
"Transformation, from wetland",,C19H19ClFNO3 ,"Transformation, from wetland",m2,Raw materials,Raw materials,4A3386E9-39BC-422E-97C0-16C6DB5F1415,
"Transformation, to agriculture",,,"Transformation, to agriculture",m2,Raw materials,Raw materials,9BF1F90D-5D76-4472-97A4-CD4DDA4C415D,
"Transformation, to agriculture + forest",,,"Transformation, to agriculture + forest",m2,Raw materials,Raw materials,4BD7F852-D6E3-4999-BF61-432EA5A6BE7B,
"Transformation, to agriculture, mosaic",,C19H20F3NO4 Synonyms: butyl 2-(4-((5-trifluoromethyl-2-pyridinyl)oxy)phenoxy)propanoate; fluazifop butyl ester; Fusilade; Hache uno super; Onecide; Fluazifop-butyl,"Transformation, to agriculture, mosaic",m2,Raw materials,Raw materials,74045B80-7669-48FF-B15E-D1360B4E802E,
"Transformation, to annual crop, fallow",,"C4H4OSynonyms: 1,4-epoxy-1,3-butadiene; Axole; Divinylene oxide; furfuran; Oxacyclopentadiene; Oxole; Tetrole","Transformation, to annual crop, fallow",m2,Raw materials,Raw materials,730C75E7-A5A5-476C-8483-639C1E9F7148,
"Transformation, to annual crop, NA",,C9H20 ,"Transformation, to annual crop",m2,Raw materials,Raw materials,334022B4-46CB-456F-8E62-A4225EE6199D,
"Transformation, to annual crop, non-irrigated, diverse-intensive",,,"Transformation, to annual crop, non-irrigated, diverse-intensive",m2,Raw materials,Raw materials,F7278602-455B-4894-A461-701FDA04FE18,
"Transformation, to annual crop, non-irrigated, fallow",,"C12H20N4O2 Synonyms: 3-Cyclohexyl-1-methyl-6-(dimethylamino)-s-triazine-2,4(1H,3H)-dione; Kexazinone; Velpar","Transformation, to annual crop, non-irrigated, fallow",m2,Raw materials,Raw materials,E782B1E4-F5B6-4AF0-9090-CED153BDDD13,
"Transformation, to annual crop, non-irrigated, monotone-intensive",,C8H16 ,"Transformation, to annual crop, non-irrigated, monotone-intensive",m2,Raw materials,Raw materials,2B4E4581-28E9-4735-A646-8F23FCE5E8A6,
"Transformation, to annual crop, organic",,C8H16O2Synonyms: OXO-HEXYL ACETATE,"Transformation, to annual crop, organic",m2,Raw materials,Raw materials,E0CD658B-7046-4069-B8B1-FBEA073FC27F,
"Transformation, to dump site, benthos",,(CH2)n Cl,"Transformation, to dump site, benthos",m2,Raw materials,Raw materials,9AF463FE-FB1D-406E-8314-8E8A73E38C7A,
"Transformation, to forest, extensive, NA",,,"Transformation, to forest, extensive",m2,Raw materials,Raw materials,8C245882-2B5E-4CB9-8E0A-3A3347C2A0BC,NA = Namibia
"Transformation, to forest, intensive, clear-cutting",,CH3Br,"Transformation, to forest, intensive, clear-cutting",m2,Raw materials,Raw materials,8BBE4579-ECCC-47CB-A994-AF448C7E1759,
"Transformation, to forest, intensive, NA",,C12H24O2,"Transformation, to forest, intensive",m2,Raw materials,Raw materials,804EA4F8-15EC-4C12-A923-529D155EF4A9,
"Transformation, to forest, intensive, normal",,,"Transformation, to forest, intensive, normal",m2,Raw materials,Raw materials,2F0563E2-7A89-44E9-A64B-CDDF38C19D6F,
"Transformation, to forest, intensive, short-cycle",,C8H11O2ClN2,"Transformation, to forest, intensive, short-cycle",m2,Raw materials,Raw materials,881DD86B-E52B-4520-8300-83AD4A455176,
"Transformation, to forest, natural",,"C4H10N2O3Synonyms: 2,2'-dihydroxy-N-nitrosodiethylamine; 2,2'-iminodi(N-nitrosoethanol); 2,2'-nitrosiminodiethanol; 2,2'-(nitrosoimino)bisethanol; bis(beta-Hydroxyethyl)nitrosamine; Diethanolnitrosamine; diethanolnitrosoamine; Ndela; N-nitrosoaminodiethanol; N-Nitrosobis(2-hydroxyethyl)amine; N-nitrosoiminodiethanol","Transformation, to forest, natural",m2,Raw materials,Raw materials,209B1948-D327-49ED-8D43-BA0B322416A7,
"Transformation, to forest, used",,C6H14N2O Synonyms: Di-n-propylnitrosamine; Dipropylnitrosamine; DPN; DPNA; NDPA; Nitrosodipropylamine; nitrous dipropylamide; N-Nitroso di-n-propylamine; N-nitroso-N-dipropylamine; N-Nitroso-N-propyl-1-propanamine,"Transformation, to forest, used",m2,Raw materials,Raw materials,F72499DA-3A6C-4D06-990E-38B7174B0A24,
"Transformation, to grassland",,C10H14N2O2,"Transformation, to grassland",m2,Raw materials,Raw materials,E84D1600-062D-4D14-B2CD-3D5B0871F9C6,
"Transformation, to grassland, not used",,C4H8N2O2Synonyms: 4-nitrosomorpholine; Nitrosomorpholine; NMOR,"Transformation, to grassland, not used",m2,Raw materials,Raw materials,8400A57C-F141-4018-ACF9-C9F14DCFD13B,
"Transformation, to grassland/pasture/meadow",,C4H9N3O ,"Transformation, to grassland/pasture/meadow",m2,Raw materials,Raw materials,D921D6A8-4059-4CB9-8DDA-3310F916E73C,
"Transformation, to grassland/pasture/meadow, NA",,,"Transformation, to grassland/pasture/meadow",m2,Raw materials,Raw materials,0508516B-7950-4A35-A6AE-E82F2C5E820F,NA = Namibia
"Transformation, to industrial area, benthos",,,"Transformation, to industrial area, benthos",m2,Raw materials,Raw materials,5EF8067B-5488-4E64-849B-FC3F556572C7,
"Transformation, to industrial area, built up",,,"Transformation, to industrial area, built up",m2,Raw materials,Raw materials,32C556E0-0D30-4FB7-8776-59A218B62EF2,
"Transformation, to industrial area, vegetation",,,"Transformation, to industrial area, vegetation",m2,Raw materials,Raw materials,47F72C6F-D5C3-46A1-AE38-85F789310B8D,
"Transformation, to lakes, artificial",,"C7H8O Synonyms: 1-hydroxy-4-methylbenzene; 1-methyl-4-hydroxybenzene; Para-cresylic acid; 4-Hydroxytoluene; p-methylhydroxybenzene; p-tolyl alcohol; p-toluol; Methylphenol, 4-","Transformation, to lakes, artificial",m2,Raw materials,Raw materials,DA5CE7BA-3E90-41A8-87E0-AD11936DE1B9,
"Transformation, to pasture, man made, organic",,,"Transformation, to pasture, man made, organic",m2,Raw materials,Raw materials,5A2199FB-ED3D-40DC-A58F-DA8938F0B055,
"Transformation, to permanent crop, fruit",,,"Transformation, to permanent crop, fruit",m2,Raw materials,Raw materials,1D63BC9E-6609-425C-A3C0-299AC953C020,
"Transformation, to permanent crop, fruit, extensive",,,"Transformation, to permanent crop, fruit, extensive",m2,Raw materials,Raw materials,7A8C45B7-944B-4C04-B441-E05F3DAE20FF,
"Transformation, to permanent crop, fruit, intensive",,,"Transformation, to permanent crop, fruit, intensive",m2,Raw materials,Raw materials,37B05E33-623E-4B4A-B79D-8B0D176B4584,
"Transformation, to permanent crop, NA",,,"Transformation, to permanent crop",m2,Raw materials,Raw materials,E5280302-1365-44D2-A96D-59459426B2E9,NA = Namibia
"Transformation, to permanent crop, vine",,,"Transformation, to permanent crop, vine",m2,Raw materials,Raw materials,D502C97C-355C-48EE-A6F4-056DDFE0EA7D,
"Transformation, to permanent crop, vine, extensive",,,"Transformation, to permanent crop, vine, extensive",m2,Raw materials,Raw materials,B4C72948-9D90-44E8-B944-C24FF4506A27,
"Transformation, to permanent crop, vine, intensive",,,"Transformation, to permanent crop, vine, intensive",m2,Raw materials,Raw materials,31D3CD0E-D965-4EBD-BC71-4C532F193897,
"Transformation, to rivers, artificial",,,"Transformation, to rivers, artificial",m2,Raw materials,Raw materials,51712FC5-68D2-46B5-99AB-8EEC6B989DD5,
"Transformation, to sea and ocean",,,"Transformation, to sea and ocean",m2,Raw materials,Raw materials,D449D40C-5A6C-43FC-889E-CDE05AE92830,
"Transformation, to sealed soil",,,"Transformation, to sealed soil",m2,Raw materials,Raw materials,C5DB5E25-9A77-409C-BD1F-C08393CA41F3,
"Transformation, to traffic area",,"C19H30O5 Synonyms: 2-(2-Butoxyethoxy)ethyl 6-propylpiperonyl ether; 5-(2-(2-Butoxyethoxy)ethoxymethyl)-6-propyl-1,3-benzodioxole","Transformation, to traffic area",m2,Raw materials,Raw materials,D005E481-CB76-461C-9FD0-2E70A20890E5,
"Transformation, to traffic area, road embankment",,C11H18N4O2,"Transformation, to traffic area, road embankment",m2,Raw materials,Raw materials,2B8D1AB8-C582-42E3-8448-F13E22F59ADF,
"Transformation, to tropical rain forest",,,"Transformation, to tropical rain forest",m2,Raw materials,Raw materials,0941C32A-D658-454F-B963-C87AE1E67998,
"Transformation, to unspecified, used",,,"Transformation, to unspecified, used",m2,Raw materials,Raw materials,4762D56F-4B74-4CFD-AC53-433C51493A29,
"Transformation, to urban",,Pu-238,"Transformation, to urban",m2,Raw materials,Raw materials,2C22B845-059B-4964-856B-824D10361788,
"Transformation, to urban, green areas",,C3H3Br3F2 ,"Transformation, to urban, green areas",m2,Raw materials,Raw materials,9678452B-CD0B-4B33-AC6E-FE7468353692,
"Transformation, to urban, NA",,,"Transformation, to urban",m2,Raw materials,Raw materials,EE77D36D-60CC-4FAA-80A2-603668C213C7,NA = Namibia
"Transformation, to urban/industrial fallow",,C20H25N3O5,"Transformation, to urban/industrial fallow",m2,Raw materials,Raw materials,9ED0D1D8-DA7D-4F13-A23E-FFD7E35EC4CF,
"Transformation, to water bodies, artificial",,,"Transformation, to water bodies, artificial",m2,Raw materials,Raw materials,15BF40A0-E463-4FED-8A9A-F15686D3D62F,
"Transformation, to water courses, artificial",,,"Transformation, to water courses, artificial",m2,Raw materials,Raw materials,A5ED38C4-253D-4E41-87BB-F44DD7EE165F,
Tripoli,,C20H19NO3 Synonyms: 2-(1-methyl-2-(4-phenoxyphenoxy)ethoxy)pyridine; Nylar; Sumilarv,Tripoli,kg,Raw materials,Raw materials,F094BE70-92B5-49A9-A168-FD6065985A74,
Trona,,"C13H10ClN2NaO4S Synonyms: DPX-PE350; KIH 2031; pyrithiobac-sodium; sodium 2-chloro-6-((4,6-dimethoxy-2-pyrimidinyl)thio)benzoate; Sodium 2-chloro-6-(4,6-dimethoxypyrimidin-2-ylthio)benzoate; ",Trona,kg,Raw materials,Raw materials,BBBFC7E9-CCEF-4A9B-A3BB-B278FF236F6B,
Tungsten ore,,,Tungsten ore,kg,Raw materials,Raw materials,F3E9B720-445F-4870-BE1A-A3BFF2A8F677,
Unspecified input,,"C4H8N2O Synonyms: 1-nitroso-Pyrrolidine; Nitrosopyrrolidine; N-Nitrosopyrrolidine; N-Nitrosopyrrolidine ; N-N-PYR; No-pyr; NPYR; Pyrrole, tetrahydro-N-nitroso-; ",Unspecified input,kg,Raw materials,Raw materials,032B2F56-2900-4CA4-A626-B6301C72A60B,
"Uranium ore, 1.11 GJ per kg",,,"Uranium ore, 1.11 GJ per kg",kg,Raw materials,Raw materials,5197AC97-565D-428E-8B07-DF051E540ACE,Formula: U
"Uranium oxide, 332 GJ per kg, in ore",001317-99-3,C15H10O7 ,"Uranium oxide, 332 GJ per kg, in ore",kg,Raw materials,Raw materials,D0B55C2C-CB8D-45FA-8327-1F45ACE7D305,
"Uranium, 2291 GJ per kg",007440-61-1,,"Uranium, 2291 GJ per kg",kg,Raw materials,Raw materials,0A576D2A-BE57-4633-BEF1-DB21B9FB496D,Formula: U
"Uranium, 451 GJ per kg",007440-61-1,,"Uranium, 451 GJ per kg",kg,Raw materials,Raw materials,EBAAD556-A534-4F35-8DBA-F6D235A97842,Formula: U
"Uranium, 560 GJ per kg",007440-61-1,,"Uranium, 560 GJ per kg",kg,Raw materials,Raw materials,A0BB5FD9-F5E1-45E5-92E9-A57ED660ABA0,Formula: U
Vanadium ore,,,Vanadium ore,kg,Raw materials,Raw materials,A494011A-9100-4A59-BE29-AE3F744A45E4,
"Water, barrage",007732-18-5,C15H11NO2 ,"Water, barrage",kg,Raw materials,Raw materials,13C6E6A8-B591-45E6-91BC-9CA61F5B4570,
"Water, cooling, drinking",007732-18-5,C14H8O3 ,"Water, cooling, drinking",kg,Raw materials,Raw materials,295F85BA-6EDB-44B5-A224-3270478B649C,
"Water, cooling, salt, ocean",007732-18-5,,"Water, cooling, salt, ocean",kg,Raw materials,Raw materials,A85A8033-094B-451A-B949-36BCCCE77E64,
"Water, cooling, surface",007732-18-5,C19H17ClN2O4 Synonyms: 2-[4-[(6-Chloro-2-quinoxalinyl)oxy]phenoxy]propanoic acid ethyl ester; Assure ; DPX-Y6202; Ethyl 2-(4-(6-chloro-2-quinoxalyloxy)phenoxy)propionate; ethyl 2-(4-(6-chloro-quinoxalin-2-yl-oxy)phenoxy)propanoate; EXP-3864; FBC-32197; INY-6202; NC 302; Pilot; Quizalofop-Et; Quizalofop-ethyl; quizalofop ethyl ester; Targa; ,"Water, cooling, surface",kg,Raw materials,Raw materials,DA02633F-640C-420A-B283-8238CF5D98B9,
"Water, cooling, unspecified natural origin, NA",007732-18-5,,"Water, cooling, unspecified natural origin",m3,Raw materials,Raw materials,E3F8BCB4-ADCE-415A-B85B-102FBCDBD071,NA = Namibia
"Water, cooling, unspecified natural origin/kg",007732-18-5,"C8H16Synonyms: (2E)-2-Octene, 2-OCTENE, 2-Octene,(E)-, 2-OCTENE(TRANS), cis-Octene-2, (E)-2-Octene, (E)-oct-2-ene, Octene, OCTENE-2, trans-Oct-2-ene","Water, cooling, unspecified natural origin/kg",kg,Raw materials,Raw materials,6C38EF17-BBAB-4905-A338-7BEB5CE8F8BC,
"Water, cooling, unspecified natural origin/m3",007732-18-5,"C6H12Synonyms: (2E)-3-methylpent-2-ene,  2-Pentene,3-methyl-,  2-pentene,3-methyl-,(2E)-,  2-Pentene,3-methyl-,(E)-, 3-METHYL-2-PENTENE, 3-METHYL-2-PENTENE (CIS), 3-Methylpent-2-ene, 3-Methyl-trans-2-pentene, (E)-3-Methyl-2-pentene, (E)-3-methylpent-2-ene","Water, cooling, unspecified natural origin/m3",m3,Raw materials,Raw materials,808D7EED-F6E6-4C5B-94E1-36DAFB7C42EB,
"Water, cooling, well",007732-18-5,,"Water, cooling, well",kg,Raw materials,Raw materials,B90AA22B-F6D6-41FB-8FD3-2E02884A8825,
"Water, fossil",007732-18-5,C9H8OSynonyms: CINNAMIC ALDEHYDE,"Water, fossil",m3,Raw materials,Raw materials,5CA8DD05-ECC2-4499-8751-265B25DD12EE,
"Water, fresh",007732-18-5,"C6H12Synonyms: 1,1-Dimethyl-2-butene, 2-Pentene,4-methyl-, 2-Pentene,4-methyl-,(E)-,  4-METHYL-2-PENTENE, 4-METHYL-2-PENTENE(TRANS), 4-Methylpent-2-ene, 4-Methyl-trans-2-pentene, (E)-4-Methyl-2-pentene, (E)-4-methylpent-2-ene","Water, fresh",m3,Raw materials,Raw materials,B73150F7-EC33-4CB0-8D5C-6CF62510834D,
"Water, groundwater consumption",007732-18-5,,"Water, groundwater consumption",kg,Raw materials,Raw materials,49535727-4BA7-46A2-AE05-A69C7BADB0A5,
"Water, lake, NA",007732-18-5,C4H5N3O3,"Water, lake",m3,Raw materials,Raw materials,06255343-5DA3-4FCD-B62E-44CE7257CA97,
"Water, process and cooling, unspecified natural origin",007732-18-5,C4H9NO5Synonyms: Cimcool wafers; Nitroisobutylglycerol; Nitrotris(hydroxymethyl)methane; Tris(hydroxymethyl)nitromethane; Trimethylolnitromethane; Tris-Nitro,"Water, process and cooling, unspecified natural origin",m3,Raw materials,Raw materials,1265FB3E-1783-423B-8F4E-82622C0E01C8,
"Water, process, drinking",007732-18-5,,"Water, process, drinking",kg,Raw materials,Raw materials,4C0C36C5-DED6-4FB5-903C-A3FD2B5CFB48,
"Water, process, salt, ocean",007732-18-5,,"Water, process, salt, ocean",kg,Raw materials,Raw materials,0E60B446-8040-47F5-96FC-0C037760E82A,
"Water, process, surface",007732-18-5,CAS number: 000126-58-9C10H22O7,"Water, process, surface",kg,Raw materials,Raw materials,8C6873DC-FEAC-48A8-856B-1EDC3B903F67,
"Water, process, unspecified natural origin/kg",007732-18-5,CAS number: 000120-46-7C15H12O2,"Water, process, unspecified natural origin/kg",kg,Raw materials,Raw materials,7BE27BE7-19F7-4470-AA72-B6751462D8D3,
"Water, process, unspecified natural origin/m3",007732-18-5,,"Water, process, unspecified natural origin/m3",m3,Raw materials,Raw materials,4B2C02CB-9755-496C-921D-95DC2AAA02E5,
"Water, process, well",007732-18-5,,"Water, process, well",kg,Raw materials,Raw materials,48CF55D8-67E6-427F-8440-948BC77F9032,
"Water, rain",007732-18-5,CAS number: 027676-62-6C48H69N3O6,"Water, rain",m3,Raw materials,Raw materials,26261E7F-F4DA-4016-AC5A-AD0F38023D61,
"Water, rain/kg",007732-18-5,,"Water, rain/kg",kg,Raw materials,Raw materials,9A33E1DA-EC17-4DEF-9DF7-C43072289B5E,
"Water, river, NA",007732-18-5,,"Water, river",m3,Raw materials,Raw materials,65526751-59B5-41C9-AD98-F6E2E894AB44,NA = Namibia
"Water, Saline water consumption",007732-18-5,,"Water, Saline water consumption",kg,Raw materials,Raw materials,442A40F3-A97C-4037-902C-BFA31E540AC0,
"Water, surface water consumption",007732-18-5,,"Water, surface water consumption",kg,Raw materials,Raw materials,412A1A57-DDBD-4709-8E78-7DEF330E88EF,
"Water, thermoelectric groundwater consumption",007732-18-5,,"Water, thermoelectric groundwater consumption",kg,Raw materials,Raw materials,9A1FBC7E-DA17-47EB-8F98-EFD918A88A41,
"Water, thermoelectric saline water consumption",007732-18-5,,"Water, thermoelectric saline water consumption",kg,Raw materials,Raw materials,FFD14BDB-780C-4816-881D-F12C21D6DC25,
"Water, thermoelectric surface water consumption",007732-18-5,,"Water, thermoelectric surface water consumption",kg,Raw materials,Raw materials,FE37D8C1-9A8C-4660-8FC7-4AA58AF2BA14,
"Water, turbine use, unspecified natural origin, NA",007732-18-5,C4H10NO3PS ,"Water, turbine use, unspecified natural origin",m3,Raw materials,Raw materials,297A3B21-90F3-463A-9434-866F0C88DE65,
"Water, unspecified natural origin, extreme water stress",007732-18-5,C7H8N2O2 Synonyms: 1-amino-2-methyl-5-nitrobenzene; 2-Amino-4-nitrotoluene; 2-methyl-5-nitrobenzenamine,"Water, unspecified natural origin, extreme water stress",m3,Raw materials,Raw materials,23E8C92F-EAD9-4613-9B9F-3A9A1D7FAF90,
"Water, unspecified natural origin, high water stress",007732-18-5,CAS number: 032536-52-0C12H2Br8O,"Water, unspecified natural origin, high water stress",m3,Raw materials,Raw materials,F9B767D4-CB62-41FE-8F17-3DACB5064D39,
"Water, unspecified natural origin, low water stress",007732-18-5,"C14H18Cl2N2O2 Synonyms: Dianisidine dihydrochloride; 3,3'-dimethoxy-[1,1'-biphenyl]-4,4'-diamine, dihydrochloride","Water, unspecified natural origin, low water stress",m3,Raw materials,Raw materials,DB0DE6CD-5E8D-4A5A-A255-98FF2A6B2375,
"Water, unspecified natural origin, medium water stress",007732-18-5,,"Water, unspecified natural origin, medium water stress",m3,Raw materials,Raw materials,B16888C0-02B2-4436-9D9D-62EFD5F360BC,#N/A
"Water, unspecified natural origin, moderate water stress",007732-18-5,C7H6O2 ,"Water, unspecified natural origin, moderate water stress",m3,Raw materials,Raw materials,1F4F0D34-AEA2-4E00-8861-D2109CBA816B,
"Water, unspecified natural origin, NA",007732-18-5,,"Water, unspecified natural origin",m3,Raw materials,Raw materials,F0273E88-1CA4-4A8C-BF8D-E21B83E5C465,NA = Namibia
"Water, unspecified natural origin, very high water stress",007732-18-5,C4H8O Synonyms: Butal; Butaldehyde; butalyde; Butyraldehyde; 1-Butanal; Butyric Aldehyde; Butyl Aldehyde; n-butanal; n-butyraldehyde; n-butyl aldehyde,"Water, unspecified natural origin, very high water stress",m3,Raw materials,Raw materials,61826A0F-BF88-4073-B692-E3B39B0611A9,
"Water, unspecified natural origin/kg",007732-18-5,,"Water, unspecified natural origin/kg",kg,Raw materials,Raw materials,6B43FE9B-97AB-4A37-8698-ACD540DABE71,
"Water, unspecified natural origin/m3",007732-18-5,,"Water, unspecified natural origin/m3",m3,Raw materials,Raw materials,FA80E48E-42F7-4AAD-A944-993C2CC217DF,
"Water, well, NA",007732-18-5,,"Water, well",m3,Raw materials,Raw materials,A0105568-310F-4818-8594-7BD01536358E,NA = Namibia
Wollastonite,,,Wollastonite,kg,Raw materials,Raw materials,90E50A81-9766-4D57-B964-425A43A03265,
Wood (16.9 MJ/kg),,,Wood (16.9 MJ/kg),kg,Raw materials,Raw materials,122E1E36-5F98-4471-8276-DE2E842AE81C,
"Wood and wood waste, 20.9 MJ per kg, ovendry basis",,,"Wood and wood waste, 20.9 MJ per kg, ovendry basis",kg,Raw materials,Raw materials,E2510A64-BBE5-4A4C-90FC-D03233E76935,
"Wood and wood waste, 9.5 MJ per kg",,,"Wood and wood waste, 9.5 MJ per kg",kg,Raw materials,Raw materials,530AF25E-250C-4907-97EB-E95FF7FDF95A,
"Wood, dry matter",,,"Wood, dry matter",kg,Raw materials,Raw materials,EDFDC274-BFB3-4C60-80EE-5BAF0B35B3CE,
"Wood, feedstock",,C21H30O3,"Wood, feedstock",kg,Raw materials,Raw materials,56312576-C30A-44D7-82C9-8BBFC8C4D7C6,
"Wood, unspecified, standing/kg",,,"Wood, unspecified, standing/kg",kg,Raw materials,Raw materials,1729498C-F99A-4FD2-8C3E-BA42E36ABAA7,
"Wood, unspecified, standing/m3",,,"Wood, unspecified, standing/m3",m3,Raw materials,Raw materials,D76EBDA1-30EA-4746-A456-F4F8998C2475,
Xenon,007440-63-3,,Xenon,kg,Raw materials,Raw materials,1FC169B6-299B-442C-BB9C-9E35D489A553,Formula: Xe
Zeolite,,C8H15N5S ,Zeolite,kg,Raw materials,Raw materials,7145C904-423D-42F4-97D0-15107CFB0CA9,
"Zinc 9%, Lead 5%, in sulfide",007440-66-6,,"Zinc 9%, Lead 5%, in sulfide",kg,Raw materials,Raw materials,AD6D0D99-6DC3-4DB0-863C-522C22510EC3,Formula: Zn
Zinc ore,,,Zinc ore,kg,Raw materials,Raw materials,B4670CFD-D5E9-4938-B2E9-AB638C90B908,
"Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore",007440-66-6,,"Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore",kg,Raw materials,Raw materials,723C517D-8DE9-4F99-9C86-563EC7C24E2F,Formula: Zn
Zirconia,001314-23-4,,Zirconia,kg,Raw materials,Raw materials,992072B0-9EF9-42E3-AF13-C4C0DA4271AE,Formula: ZrO2as baddeleyite
